unit_id,model_name,condition,city_id,bank_id,position_id,localization_error_m,csi_context_sha256,base_map_cluster_id,map_sha256,action_sha256,query_count
fixture-bank-12:0:source-a:fixture-bank-12:p0006,RFIR,correct,source-a,fixture-bank-12,source-a:fixture-bank-12:p0006,2.6588716287083396,7968d0049500e01ba8a6b8ffedbb5e89fba78a0833d3882579245fa3075823a3,fixture-base-12,f5927760d3b1814b4517f2d4ec916c38c996cc08756aa052f486f1e0d64db008,23bc76fd36d1490877c3d533b77daa34101fee5b32e5371bb67f3a556051ad6d,1
fixture-bank-12:0:source-a:fixture-bank-12:p0006,RFIR,paired_active_alternative,source-a,fixture-bank-12,source-a:fixture-bank-12:p0006,2.6588716287083396,7968d0049500e01ba8a6b8ffedbb5e89fba78a0833d3882579245fa3075823a3,fixture-base-12,43fc05ca825c7ff2e7c00c016f80b1cce1f9303158dc70eba6d35120eb50ac68,eb9f4ff4c31beda2b58c8c1627df055ff5a7fcdfa8fc0adb0a917ab4f12df679,1
fixture-bank-12:0:source-a:fixture-bank-12:p0006,RFIR,paired_null_alternative,source-a,fixture-bank-12,source-a:fixture-bank-12:p0006,0.8373632935103852,7968d0049500e01ba8a6b8ffedbb5e89fba78a0833d3882579245fa3075823a3,fixture-base-12,8d2c6d3ad657216758cb61a91554f699ef6b692f87e6208b2f34dfa43603b79c,5a17d5ed3fd5860ae6c61ec5b77e9584a2af339a2c7b195465a9e19651e3613a,1
fixture-bank-12:0:source-a:fixture-bank-12:p0006,RFIR,wrong_city,source-a,fixture-bank-12,source-a:fixture-bank-12:p0006,0.8373632935103852,7968d0049500e01ba8a6b8ffedbb5e89fba78a0833d3882579245fa3075823a3,fixture-base-12,d5562de0e2a83eb75a5283cc308d5029c8fdf9ff8641aa0a418d47978400e998,cd6fbc5fb7763b3b83939b07a307c9a94efa49be29a928c55fe2712340b36782,1
fixture-bank-12:0:source-a:fixture-bank-12:p0006,RFIR,geometry_destroyed,source-a,fixture-bank-12,source-a:fixture-bank-12:p0006,0.8373632935103852,7968d0049500e01ba8a6b8ffedbb5e89fba78a0833d3882579245fa3075823a3,fixture-base-12,0f580a1ca54e6e17213d4207a606979785e7b34f20b37975f6c4955ca9c5592f,668aa1e4b33d38df51f3c5dfb22b1d9eb0dd680eb50ff3d4ee2f3bea8587c66b,1
fixture-bank-12:0:source-a:fixture-bank-12:p0006,RFIR,empty,source-a,fixture-bank-12,source-a:fixture-bank-12:p0006,2.6588716287083396,7968d0049500e01ba8a6b8ffedbb5e89fba78a0833d3882579245fa3075823a3,fixture-base-12,80422bc3d307b4a25bdafcc84ac7fb01cb55a09810e8b0f37bb12e0edb5c48ca,9e55c822c8873725352f0c67ef4fee4f2aaffcd3ca9f5ff0b09459833c18bb65,1
fixture-bank-12:0:source-a:fixture-bank-12:p0007,RFIR,correct,source-a,fixture-bank-12,source-a:fixture-bank-12:p0007,2.6588716287083396,e2cccb8d1450e7d45af79f716aad0bb73ef373563d5b85ec5bb34459d6d04909,fixture-base-12,f5927760d3b1814b4517f2d4ec916c38c996cc08756aa052f486f1e0d64db008,23bc76fd36d1490877c3d533b77daa34101fee5b32e5371bb67f3a556051ad6d,1
fixture-bank-12:0:source-a:fixture-bank-12:p0007,RFIR,paired_active_alternative,source-a,fixture-bank-12,source-a:fixture-bank-12:p0007,2.6588716287083396,e2cccb8d1450e7d45af79f716aad0bb73ef373563d5b85ec5bb34459d6d04909,fixture-base-12,43fc05ca825c7ff2e7c00c016f80b1cce1f9303158dc70eba6d35120eb50ac68,eb9f4ff4c31beda2b58c8c1627df055ff5a7fcdfa8fc0adb0a917ab4f12df679,1
fixture-bank-12:0:source-a:fixture-bank-12:p0007,RFIR,paired_null_alternative,source-a,fixture-bank-12,source-a:fixture-bank-12:p0007,2.949775802551536,e2cccb8d1450e7d45af79f716aad0bb73ef373563d5b85ec5bb34459d6d04909,fixture-base-12,8d2c6d3ad657216758cb61a91554f699ef6b692f87e6208b2f34dfa43603b79c,5a17d5ed3fd5860ae6c61ec5b77e9584a2af339a2c7b195465a9e19651e3613a,1
fixture-bank-12:0:source-a:fixture-bank-12:p0007,RFIR,wrong_city,source-a,fixture-bank-12,source-a:fixture-bank-12:p0007,2.949775802551536,e2cccb8d1450e7d45af79f716aad0bb73ef373563d5b85ec5bb34459d6d04909,fixture-base-12,d5562de0e2a83eb75a5283cc308d5029c8fdf9ff8641aa0a418d47978400e998,cd6fbc5fb7763b3b83939b07a307c9a94efa49be29a928c55fe2712340b36782,1
fixture-bank-12:0:source-a:fixture-bank-12:p0007,RFIR,geometry_destroyed,source-a,fixture-bank-12,source-a:fixture-bank-12:p0007,2.949775802551536,e2cccb8d1450e7d45af79f716aad0bb73ef373563d5b85ec5bb34459d6d04909,fixture-base-12,2095ae1b8860d4a97b072c172459ebf68ae56d501b97fba34e32a9a5a45788e7,668aa1e4b33d38df51f3c5dfb22b1d9eb0dd680eb50ff3d4ee2f3bea8587c66b,1
fixture-bank-12:0:source-a:fixture-bank-12:p0007,RFIR,empty,source-a,fixture-bank-12,source-a:fixture-bank-12:p0007,2.6588716287083396,e2cccb8d1450e7d45af79f716aad0bb73ef373563d5b85ec5bb34459d6d04909,fixture-base-12,80422bc3d307b4a25bdafcc84ac7fb01cb55a09810e8b0f37bb12e0edb5c48ca,9e55c822c8873725352f0c67ef4fee4f2aaffcd3ca9f5ff0b09459833c18bb65,1
fixture-bank-12:1:source-a:fixture-bank-12:p0000,RFIR,correct,source-a,fixture-bank-12,source-a:fixture-bank-12:p0000,2.125315684552008,24b9b6a86f62cd0237c4e1389d8601ebb5cbe3daf2f2c4884127321c4680ec96,fixture-base-12,43fc05ca825c7ff2e7c00c016f80b1cce1f9303158dc70eba6d35120eb50ac68,23bc76fd36d1490877c3d533b77daa34101fee5b32e5371bb67f3a556051ad6d,1
fixture-bank-12:1:source-a:fixture-bank-12:p0000,RFIR,paired_active_alternative,source-a,fixture-bank-12,source-a:fixture-bank-12:p0000,1.465791835961434,24b9b6a86f62cd0237c4e1389d8601ebb5cbe3daf2f2c4884127321c4680ec96,fixture-base-12,e4d64cf26bec851e0163f1b51622c7a073fc8730f9da6393e327cba58d3ab99e,927fde828e59e1ecbe343f1bbcbceb2ff213b54eb30b30ab5bdef182ab5453d8,1
fixture-bank-12:1:source-a:fixture-bank-12:p0000,RFIR,paired_null_alternative,source-a,fixture-bank-12,source-a:fixture-bank-12:p0000,2.125315684552008,24b9b6a86f62cd0237c4e1389d8601ebb5cbe3daf2f2c4884127321c4680ec96,fixture-base-12,f5927760d3b1814b4517f2d4ec916c38c996cc08756aa052f486f1e0d64db008,719a7d05cde3cc71c3af8129894c75af7bff1eb0b0a1d470e9eb55a208db38bf,1
fixture-bank-12:1:source-a:fixture-bank-12:p0000,RFIR,wrong_city,source-a,fixture-bank-12,source-a:fixture-bank-12:p0000,1.465791835961434,24b9b6a86f62cd0237c4e1389d8601ebb5cbe3daf2f2c4884127321c4680ec96,fixture-base-12,d5562de0e2a83eb75a5283cc308d5029c8fdf9ff8641aa0a418d47978400e998,cd6fbc5fb7763b3b83939b07a307c9a94efa49be29a928c55fe2712340b36782,1
fixture-bank-12:1:source-a:fixture-bank-12:p0000,RFIR,geometry_destroyed,source-a,fixture-bank-12,source-a:fixture-bank-12:p0000,1.465791835961434,24b9b6a86f62cd0237c4e1389d8601ebb5cbe3daf2f2c4884127321c4680ec96,fixture-base-12,ebb52e678515a21fcdf481c113818a9b5e3e164e61cc1c0b8e4c3e861d4b7ba8,668aa1e4b33d38df51f3c5dfb22b1d9eb0dd680eb50ff3d4ee2f3bea8587c66b,1
fixture-bank-12:1:source-a:fixture-bank-12:p0000,RFIR,empty,source-a,fixture-bank-12,source-a:fixture-bank-12:p0000,2.125315684552008,24b9b6a86f62cd0237c4e1389d8601ebb5cbe3daf2f2c4884127321c4680ec96,fixture-base-12,80422bc3d307b4a25bdafcc84ac7fb01cb55a09810e8b0f37bb12e0edb5c48ca,9e55c822c8873725352f0c67ef4fee4f2aaffcd3ca9f5ff0b09459833c18bb65,1
fixture-bank-12:1:source-a:fixture-bank-12:p0001,RFIR,correct,source-a,fixture-bank-12,source-a:fixture-bank-12:p0001,2.125315684552008,9a57ba6dccc7a4db33fe1fd5cac4e44152cbe157d4f4cc8317c419149c315b16,fixture-base-12,43fc05ca825c7ff2e7c00c016f80b1cce1f9303158dc70eba6d35120eb50ac68,23bc76fd36d1490877c3d533b77daa34101fee5b32e5371bb67f3a556051ad6d,1
fixture-bank-12:1:source-a:fixture-bank-12:p0001,RFIR,paired_active_alternative,source-a,fixture-bank-12,source-a:fixture-bank-12:p0001,3.7614552644383785,9a57ba6dccc7a4db33fe1fd5cac4e44152cbe157d4f4cc8317c419149c315b16,fixture-base-12,e4d64cf26bec851e0163f1b51622c7a073fc8730f9da6393e327cba58d3ab99e,927fde828e59e1ecbe343f1bbcbceb2ff213b54eb30b30ab5bdef182ab5453d8,1
fixture-bank-12:1:source-a:fixture-bank-12:p0001,RFIR,paired_null_alternative,source-a,fixture-bank-12,source-a:fixture-bank-12:p0001,2.125315684552008,9a57ba6dccc7a4db33fe1fd5cac4e44152cbe157d4f4cc8317c419149c315b16,fixture-base-12,f5927760d3b1814b4517f2d4ec916c38c996cc08756aa052f486f1e0d64db008,719a7d05cde3cc71c3af8129894c75af7bff1eb0b0a1d470e9eb55a208db38bf,1
fixture-bank-12:1:source-a:fixture-bank-12:p0001,RFIR,wrong_city,source-a,fixture-bank-12,source-a:fixture-bank-12:p0001,3.7614552644383785,9a57ba6dccc7a4db33fe1fd5cac4e44152cbe157d4f4cc8317c419149c315b16,fixture-base-12,d5562de0e2a83eb75a5283cc308d5029c8fdf9ff8641aa0a418d47978400e998,cd6fbc5fb7763b3b83939b07a307c9a94efa49be29a928c55fe2712340b36782,1
fixture-bank-12:1:source-a:fixture-bank-12:p0001,RFIR,geometry_destroyed,source-a,fixture-bank-12,source-a:fixture-bank-12:p0001,3.7614552644383785,9a57ba6dccc7a4db33fe1fd5cac4e44152cbe157d4f4cc8317c419149c315b16,fixture-base-12,1e85c0ea8a1193a988d5f470b96b2eb671e66d6e602fb94997614ad6b2c2fa89,668aa1e4b33d38df51f3c5dfb22b1d9eb0dd680eb50ff3d4ee2f3bea8587c66b,1
fixture-bank-12:1:source-a:fixture-bank-12:p0001,RFIR,empty,source-a,fixture-bank-12,source-a:fixture-bank-12:p0001,2.125315684552008,9a57ba6dccc7a4db33fe1fd5cac4e44152cbe157d4f4cc8317c419149c315b16,fixture-base-12,80422bc3d307b4a25bdafcc84ac7fb01cb55a09810e8b0f37bb12e0edb5c48ca,9e55c822c8873725352f0c67ef4fee4f2aaffcd3ca9f5ff0b09459833c18bb65,1
fixture-bank-12:1:source-a:fixture-bank-12:p0002,RFIR,correct,source-a,fixture-bank-12,source-a:fixture-bank-12:p0002,1.6986429323534564,c9553e3a94737c7705801e64f54bbe46f9d5f09580b13b801e2570d56f0d7ad3,fixture-base-12,43fc05ca825c7ff2e7c00c016f80b1cce1f9303158dc70eba6d35120eb50ac68,23bc76fd36d1490877c3d533b77daa34101fee5b32e5371bb67f3a556051ad6d,1
fixture-bank-12:1:source-a:fixture-bank-12:p0002,RFIR,paired_active_alternative,source-a,fixture-bank-12,source-a:fixture-bank-12:p0002,1.6986429323534564,c9553e3a94737c7705801e64f54bbe46f9d5f09580b13b801e2570d56f0d7ad3,fixture-base-12,f5927760d3b1814b4517f2d4ec916c38c996cc08756aa052f486f1e0d64db008,953754fcda9fefb0fe51569c49c53f60b360596c76bc87f67af93b1ed0b2c3a9,1
fixture-bank-12:1:source-a:fixture-bank-12:p0002,RFIR,paired_null_alternative,source-a,fixture-bank-12,source-a:fixture-bank-12:p0002,0.7190040048586448,c9553e3a94737c7705801e64f54bbe46f9d5f09580b13b801e2570d56f0d7ad3,fixture-base-12,e4d64cf26bec851e0163f1b51622c7a073fc8730f9da6393e327cba58d3ab99e,809207241c4e6187b80849afd140c666e1fb16db4a1af75210a3f677180f55c9,1
fixture-bank-12:1:source-a:fixture-bank-12:p0002,RFIR,wrong_city,source-a,fixture-bank-12,source-a:fixture-bank-12:p0002,0.7190040048586448,c9553e3a94737c7705801e64f54bbe46f9d5f09580b13b801e2570d56f0d7ad3,fixture-base-12,d5562de0e2a83eb75a5283cc308d5029c8fdf9ff8641aa0a418d47978400e998,cd6fbc5fb7763b3b83939b07a307c9a94efa49be29a928c55fe2712340b36782,1
fixture-bank-12:1:source-a:fixture-bank-12:p0002,RFIR,geometry_destroyed,source-a,fixture-bank-12,source-a:fixture-bank-12:p0002,1.465791835961434,c9553e3a94737c7705801e64f54bbe46f9d5f09580b13b801e2570d56f0d7ad3,fixture-base-12,421383d5d51cc3daf5e407c9756b7d592493eba8cfe67fce0a502c11d75a1802,668aa1e4b33d38df51f3c5dfb22b1d9eb0dd680eb50ff3d4ee2f3bea8587c66b,1
fixture-bank-12:1:source-a:fixture-bank-12:p0002,RFIR,empty,source-a,fixture-bank-12,source-a:fixture-bank-12:p0002,1.6986429323534564,c9553e3a94737c7705801e64f54bbe46f9d5f09580b13b801e2570d56f0d7ad3,fixture-base-12,80422bc3d307b4a25bdafcc84ac7fb01cb55a09810e8b0f37bb12e0edb5c48ca,9e55c822c8873725352f0c67ef4fee4f2aaffcd3ca9f5ff0b09459833c18bb65,1
fixture-bank-12:1:source-a:fixture-bank-12:p0003,RFIR,correct,source-a,fixture-bank-12,source-a:fixture-bank-12:p0003,1.6986429323534564,92408311afb9a242859c0b8badf0f6ba451c09de1b6e14ed217d95c4d6b9b1a5,fixture-base-12,43fc05ca825c7ff2e7c00c016f80b1cce1f9303158dc70eba6d35120eb50ac68,23bc76fd36d1490877c3d533b77daa34101fee5b32e5371bb67f3a556051ad6d,1
fixture-bank-12:1:source-a:fixture-bank-12:p0003,RFIR,paired_active_alternative,source-a,fixture-bank-12,source-a:fixture-bank-12:p0003,1.6986429323534564,92408311afb9a242859c0b8badf0f6ba451c09de1b6e14ed217d95c4d6b9b1a5,fixture-base-12,f5927760d3b1814b4517f2d4ec916c38c996cc08756aa052f486f1e0d64db008,953754fcda9fefb0fe51569c49c53f60b360596c76bc87f67af93b1ed0b2c3a9,1
fixture-bank-12:1:source-a:fixture-bank-12:p0003,RFIR,paired_null_alternative,source-a,fixture-bank-12,source-a:fixture-bank-12:p0003,2.125315684552008,92408311afb9a242859c0b8badf0f6ba451c09de1b6e14ed217d95c4d6b9b1a5,fixture-base-12,e4d64cf26bec851e0163f1b51622c7a073fc8730f9da6393e327cba58d3ab99e,809207241c4e6187b80849afd140c666e1fb16db4a1af75210a3f677180f55c9,1
fixture-bank-12:1:source-a:fixture-bank-12:p0003,RFIR,wrong_city,source-a,fixture-bank-12,source-a:fixture-bank-12:p0003,2.125315684552008,92408311afb9a242859c0b8badf0f6ba451c09de1b6e14ed217d95c4d6b9b1a5,fixture-base-12,d5562de0e2a83eb75a5283cc308d5029c8fdf9ff8641aa0a418d47978400e998,cd6fbc5fb7763b3b83939b07a307c9a94efa49be29a928c55fe2712340b36782,1
fixture-bank-12:1:source-a:fixture-bank-12:p0003,RFIR,geometry_destroyed,source-a,fixture-bank-12,source-a:fixture-bank-12:p0003,1.465791835961434,92408311afb9a242859c0b8badf0f6ba451c09de1b6e14ed217d95c4d6b9b1a5,fixture-base-12,dc8bff29c8b10af5891decbcc7bfd1c4bf6151247316f17cd002ae5385083d5f,668aa1e4b33d38df51f3c5dfb22b1d9eb0dd680eb50ff3d4ee2f3bea8587c66b,1
fixture-bank-12:1:source-a:fixture-bank-12:p0003,RFIR,empty,source-a,fixture-bank-12,source-a:fixture-bank-12:p0003,1.6986429323534564,92408311afb9a242859c0b8badf0f6ba451c09de1b6e14ed217d95c4d6b9b1a5,fixture-base-12,80422bc3d307b4a25bdafcc84ac7fb01cb55a09810e8b0f37bb12e0edb5c48ca,9e55c822c8873725352f0c67ef4fee4f2aaffcd3ca9f5ff0b09459833c18bb65,1
fixture-bank-12:1:source-a:fixture-bank-12:p0006,RFIR,correct,source-a,fixture-bank-12,source-a:fixture-bank-12:p0006,2.6588716287083396,c0be8da0d6c36faa4f20c8b4e990765e98bcc086160375b32f47cd732b2d7ca9,fixture-base-12,43fc05ca825c7ff2e7c00c016f80b1cce1f9303158dc70eba6d35120eb50ac68,23bc76fd36d1490877c3d533b77daa34101fee5b32e5371bb67f3a556051ad6d,1
fixture-bank-12:1:source-a:fixture-bank-12:p0006,RFIR,paired_active_alternative,source-a,fixture-bank-12,source-a:fixture-bank-12:p0006,2.6588716287083396,c0be8da0d6c36faa4f20c8b4e990765e98bcc086160375b32f47cd732b2d7ca9,fixture-base-12,f5927760d3b1814b4517f2d4ec916c38c996cc08756aa052f486f1e0d64db008,953754fcda9fefb0fe51569c49c53f60b360596c76bc87f67af93b1ed0b2c3a9,1
